il,ilçe,mahalle,processed_il,processed_ilce,processed_mahalle
ADANA,ALADAĞ,AKÖREN,adana,aladag,akoren
ADANA,ALADAĞ,AKPINAR,adana,aladag,akpinar
ADANA,ALADAĞ,BOZTAHTA,adana,aladag,boztahta
ADANA,ALADAĞ,BAŞPINAR,adana,aladag,baspinar
ADANA,ALADAĞ,BÜYÜKSOFULU,adana,aladag,buyuksofulu
ADANA,ALADAĞ,CERİTLER,adana,aladag,ceritler
ADANA,ALADAĞ,DARILIK,adana,aladag,darilik
ADANA,ALADAĞ,DAYILAR,adana,aladag,dayilar
ADANA,ALADAĞ,DÖLEKLİ,adana,aladag,dolekli
ADANA,ALADAĞ,EBRİŞİM,adana,aladag,ebrisim
ADANA,ALADAĞ,EĞNER,adana,aladag,egner
ADANA,ALADAĞ,GERDİBİ,adana,aladag,gerdibi
ADANA,ALADAĞ,GİREĞİYENİKÖY,adana,aladag,giregiyenikoy
ADANA,ALADAĞ,GÖKÇE,adana,aladag,gokce
ADANA,ALADAĞ,KABASAKAL,adana,aladag,kabasakal
ADANA,ALADAĞ,KARAHAN,adana,aladag,karahan
ADANA,ALADAĞ,KICAK,adana,aladag,kicak
ADANA,ALADAĞ,KÖKEZ,adana,aladag,kokez
ADANA,ALADAĞ,KÖPRÜCÜK,adana,aladag,koprucuk
ADANA,ALADAĞ,MADENLİ,adana,aladag,madenli
ADANA,ALADAĞ,MANSURLU,adana,aladag,mansurlu
ADANA,ALADAĞ,MAZILIK,adana,aladag,mazilik
ADANA,ALADAĞ,KIŞLAK,adana,aladag,kislak
ADANA,ALADAĞ,KIZILDAM,adana,aladag,kizildam
ADANA,ALADAĞ,KÜP,adana,aladag,kup
ADANA,ALADAĞ,POSYAĞBASAN,adana,aladag,posyagbasan
ADANA,ALADAĞ,SİNANPAŞA,adana,aladag,sinanpasa
ADANA,ALADAĞ,UZUNKUYU,adana,aladag,uzunkuyu
ADANA,ALADAĞ,YETİMLİ,adana,aladag,yetimli
ADANA,ALADAĞ,YÜKSEKÖREN,adana,aladag,yuksekoren
ADANA,ALADAĞ,TOPALLI,adana,aladag,topalli
ADANA,CEYHAN,TOKTAMIŞ,adana,ceyhan,toktamis
ADANA,CEYHAN,TUMLU,adana,ceyhan,tumlu
ADANA,CEYHAN,ŞEHİT HACI İBRAHİM,adana,ceyhan,sehit haci ibrahim
ADANA,CEYHAN,ZÜBEYDE HANIM,adana,ceyhan,zubeyde hanim
ADANA,CEYHAN,SELİMİYE,adana,ceyhan,selimiye
ADANA,CEYHAN,ŞAHİN ÖZBİLEN,adana,ceyhan,sahin ozbilen
ADANA,CEYHAN,ULUS,adana,ceyhan,ulus
ADANA,CEYHAN,YARSUAT,adana,ceyhan,yarsuat
ADANA,CEYHAN,YELLİBEL,adana,ceyhan,yellibel
ADANA,CEYHAN,YILANKALE,adana,ceyhan,yilankale
ADANA,CEYHAN,YEŞİLBAHÇE,adana,ceyhan,yesilbahce
ADANA,CEYHAN,YEŞİLDAM,adana,ceyhan,yesildam
ADANA,CEYHAN,ÜÇDUTYEŞİLOVA,adana,ceyhan,ucdutyesilova
ADANA,CEYHAN,TATARLI,adana,ceyhan,tatarli
ADANA,CEYHAN,TATLIKUYU,adana,ceyhan,tatlikuyu
ADANA,CEYHAN,VEYSİYE,adana,ceyhan,veysiye
ADANA,CEYHAN,YALAK,adana,ceyhan,yalak
ADANA,CEYHAN,SİRKELİ,adana,ceyhan,sirkeli
ADANA,CEYHAN,SAĞIRLAR,adana,ceyhan,sagirlar
ADANA,CEYHAN,SAĞKAYA,adana,ceyhan,sagkaya
ADANA,CEYHAN,SOĞUKPINAR,adana,ceyhan,sogukpinar
ADANA,CEYHAN,SOYSALLI,adana,ceyhan,soysalli
ADANA,CEYHAN,NAMIK KEMAL,adana,ceyhan,namik kemal
ADANA,CEYHAN,NARLIK,adana,ceyhan,narlik
ADANA,CEYHAN,NAZIMBEY YENİKÖY,adana,ceyhan,nazimbey yenikoy
ADANA,CEYHAN,KUZUCAK,adana,ceyhan,kuzucak
ADANA,CEYHAN,KÜÇÜKBURHANİYE,adana,ceyhan,kucukburhaniye
ADANA,CEYHAN,KÜÇÜKKIRIM,adana,ceyhan,kucukkirim
ADANA,CEYHAN,KÜÇÜKMANGIT,adana,ceyhan,kucukmangit
ADANA,CEYHAN,MİTHATPAŞA,adana,ceyhan,mithatpasa
ADANA,CEYHAN,MODERNEVLER,adana,ceyhan,modernevler
ADANA,CEYHAN,MURADİYE,adana,ceyhan,muradiye
ADANA,CEYHAN,SARIBAHÇE,adana,ceyhan,saribahce
ADANA,CEYHAN,SARIMAZI,adana,ceyhan,sarimazi
ADANA,CEYHAN,SARISAKAL,adana,ceyhan,sarisakal
ADANA,CEYHAN,MUSTAFABEYLİ,adana,ceyhan,mustafabeyli
